Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SL","Livestock Primary","2","Afghanistan","5510","Production","21121","Meat, chicken","2018","2018","tonnes","28850","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","2","Afghanistan","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","23913","","Official data"
"SL","Livestock Primary","2","Afghanistan","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","154","","Official data"
"SL","Livestock Primary","3","Albania","5510","Production","21121","Meat, chicken","2018","2018","tonnes","15587","","Official data"
"SL","Livestock Primary","3","Albania","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","11588","","Official data"
"SL","Livestock Primary","3","Albania","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","3","Fc","Calculated data"
"SL","Livestock Primary","4","Algeria","5510","Production","21121","Meat, chicken","2018","2018","tonnes","278279","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","4","Algeria","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","27","*","Unofficial figure"
"SL","Livestock Primary","4","Algeria","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","2","Fc","Calculated data"
"SL","Livestock Primary","7","Angola","5510","Production","21121","Meat, chicken","2018","2018","tonnes","27208","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","7","Angola","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","322678","*","Unofficial figure"
"SL","Livestock Primary","7","Angola","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","4","Fc","Calculated data"
"SL","Livestock Primary","8","Antigua and Barbuda","5510","Production","21121","Meat, chicken","2018","2018","tonnes","96","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","8","Antigua and Barbuda","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","5944","","Official data"
"SL","Livestock Primary","8","Antigua and Barbuda","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","7","","Official data"
"SL","Livestock Primary","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","17","Fc","Calculated data"
"SL","Livestock Primary","9","Argentina","5510","Production","21121","Meat, chicken","2018","2018","tonnes","2069160","","Official data"
"SL","Livestock Primary","9","Argentina","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","6624","","Official data"
