Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2040","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","55.52","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","191","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","10.79","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3360","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","115.74","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1003","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","61.75","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3322","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","91.83","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","390","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","24.73","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2385","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","53.05","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","208","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","16.31","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2445","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","80.19","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","740","Fc","Calculated data"
