is_genuine,diagonal,height_left,height_right,margin_low,margin_up,length
True,171.81,104.86,104.95,4.52,2.89,112.83
True,171.67,103.74,103.7,4.01,2.87,113.29
True,171.83,103.76,103.76,4.4,2.88,113.84
True,171.8,103.78,103.65,3.73,3.12,113.63
True,172.05,103.7,103.75,5.04,2.27,113.55
True,172.57,104.65,104.44,4.54,2.99,113.16
True,172.38,103.55,103.8,3.97,2.9,113.3
True,171.58,103.65,103.37,3.54,3.19,113.38
True,171.96,103.51,103.75,4.06,3.33,113.53
True,172.14,104.34,104.2,4.63,3.02,112.47
True,172.27,104.29,104.22,3.89,3.53,113.5
True,172.07,103.64,103.67,3.86,3.2,113.83
True,172.19,104.61,103.69,4.0,3.26,112.91
True,171.82,103.78,103.76,3.81,3.25,113.36
True,172.04,103.94,103.76,3.81,3.24,113.41
True,171.6,103.85,103.91,4.56,2.56,113.27
True,171.69,103.9,104.13,4.07,2.92,113.52
True,172.05,103.9,103.76,4.52,2.71,113.42
True,172.15,103.65,103.66,3.6,3.5,113.24
True,171.75,104.16,104.0,4.19,3.03,113.55
True,172.03,103.87,103.4,4.29,3.01,113.09
True,172.49,104.44,103.98,4.08,3.07,113.16
True,172.24,104.51,103.97,4.18,3.22,113.21
True,172.59,104.22,104.01,4.47,2.95,113.19
True,172.13,103.76,103.85,3.65,3.24,112.92
True,172.21,104.28,104.37,4.06,3.3,113.92
True,172.41,104.14,104.06,4.45,2.94,113.98
True,172.02,104.23,104.26,4.92,2.89,113.49
True,172.14,104.01,104.0,3.64,3.16,113.37
True,171.84,103.75,103.38,4.08,2.7,113.72
True,172.19,104.05,103.81,3.9,3.22,113.52
True,171.82,103.77,103.79,4.36,2.77,113.79
True,172.01,104.03,103.67,3.9,3.18,112.61
True,172.49,104.33,104.03,4.28,3.07,112.71
True,172.75,104.33,103.97,4.34,3.14,113.12
True,171.66,104.17,104.16,4.75,2.94,113.52
True,172.4,104.19,103.98,4.08,2.93,113.44
True,172.2,103.93,103.49,3.8,2.99,113.63
True,172.21,104.27,104.01,4.23,2.79,113.78
True,171.13,104.28,103.14,4.16,2.92,113.0
True,171.51,103.85,103.36,4.49,2.8,113.87
True,171.81,104.1,103.69,4.29,2.95,112.72
True,171.88,103.66,103.52,4.66,2.75,113.25
True,171.91,104.34,103.77,4.45,2.95,112.66
True,171.79,103.51,103.25,4.05,3.08,112.71
True,171.44,103.52,103.49,4.09,3.12,113.23
True,171.85,103.9,103.74,4.13,3.07,113.15
True,171.81,103.91,103.78,3.66,3.28,113.59
