identifiant_transaction,date_operation,date_valeur,libelle,debit,credit,solde
242,2023-10-06,2023-10-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.92,,2513.79
25,2023-10-06,2023-10-06,CARTE XX XX CHEZ LUC XX,-10.00,,2529.29
69,2023-10-06,2023-10-06,PRELEVEMENT XX TELEPHONE XX XX,-13.58,,2515.71
299,2023-10-05,2023-10-05,CARTE XX XX XX XX XX XX,-10.64,,2539.29
45,2023-10-05,2023-10-05,CARTE XX XX XX XX,-4.80,,2549.93
95,2023-10-03,2023-10-03,CARTE XX XX LA CCNCF XX,-67.68,,2554.73
78,2023-10-02,2023-10-02,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,,676.00,2622.41
160,2023-09-30,2023-10-01,XX XX VIREMENT XX XX XX,-36.00,,1946.41
63,2023-09-29,2023-09-29,DON XX XX XX XX XX XX XX,-1.76,,1982.41
64,2023-09-26,2023-09-26,CARTE XX XX TOUPTIPRI XX,-2.93,,2315.73
170,2023-09-26,2023-09-26,CARTE XX XX TOUPTIPRI XX,-10.36,,2305.37
195,2023-09-26,2023-09-26,RETRAIT XX XX XX,-320.00,,1985.37
293,2023-09-26,2023-09-26,CARTE XX XX XX XX XX,-1.20,,1984.17
278,2023-09-25,2023-09-25,PRELEVEMENT XX XX XX XX XX XX XX XX,-593.60,,2318.66
128,2023-09-25,2023-09-25,CARTE XX XX CHEZ LUC XX,-8.52,,2912.26
87,2023-09-25,2023-09-25,CARTE XX XX XX XX XX XX,-7.12,,2920.78
52,2023-09-25,2023-09-25,CARTE XX XX XX XX XX,-23.33,,2927.90
44,2023-09-25,2023-09-25,CARTE XX XX XX XX XX,-9.31,,2951.23
37,2023-09-25,2023-09-25,CARTE XX XX XX XX XX XX,-12.00,,2960.54
30,2023-09-25,2023-09-25,CARTE XX XX XX XX,-40.00,,2972.54
247,2023-09-22,2023-09-22,CARTE XX XX XX XX,-4.00,,3018.14
285,2023-09-22,2023-09-22,CARTE XX XX XX XX XX,-5.60,,3012.54
270,2023-09-21,2023-09-21,CARTE XX XX XX XX XX,-10.45,,3022.14
267,2023-09-20,2023-09-20,CARTE XX XX TOUPTIPRI XX,-2.56,,3032.59
142,2023-09-20,2023-09-20,CARTE XX XX XX XX,-30.37,,3035.15
98,2023-09-20,2023-09-20,CARTE XX XX XX XX XX,-8.60,,3065.52
38,2023-09-20,2023-09-20,CARTE XX XX XX XX XX XX,-2.56,,3074.12
94,2023-09-18,2023-09-18,CARTE XX XX LA LOUVE XX XX,-20.59,,3082.84
70,2023-09-18,2023-09-18,CARTE XX XX XX XX,-1.60,,3103.43
132,2023-09-18,2023-09-18,CARTE XX XX XX XX XX,-0.96,,3081.88
180,2023-09-18,2023-09-18,CARTE XX XX XX XX XX,-5.20,,3076.68
182,2023-09-15,2022-09-15,VIREMENT PERMANENT LOYER,-345.00,,3105.03
276,2023-09-15,2023-09-15,VIREMENT XX XX XX XX XX XX XX XX XX,,39.82,3450.03
238,2023-09-14,2023-09-14,CARTE XX XX LA CCNCF XX,-47.61,,3410.21
237,2023-09-12,2023-09-12,CARTE XX XX LA CCNCF XX XX,-11.25,,3457.82
58,2023-09-12,2023-09-12,CARTE XX XX XX XX XX,-4.00,,3469.07
48,2023-09-12,2023-09-12,CARTE XX XX L'EPICERIE DEMBAS XX XX,-19.61,,3473.07
26,2023-09-11,2023-09-11,CARTE XX XX XX XX XX XX,-1.44,,3525.32
111,2023-09-11,2023-09-11,CARTE XX XX XX XX,-9.60,,3515.72
141,2023-09-11,2023-09-11,CARTE XX XX XX XX,-12.00,,3503.72
153,2023-09-11,2023-09-11,CARTE XX XX XX XX XX XX,-1.44,,3502.28
197,2023-09-11,2023-09-11,CARTE XX XX TOUPTIPRI XX,-9.60,,3492.68
203,2023-09-08,2023-09-08,CARTE XX XX XX XX XX XX,-4.00,,3526.76
60,2023-09-08,2023-09-08,CARTE XX XX L'EPICERIE DEMBAS XX XX,-5.57,,3531.56
121,2023-09-08,2023-09-08,CARTE XX XX XX XX XX,-0.80,,3530.76
