date_operation,libelle,montant,solde_avt_ope,categ,type,tranche_depense,sens,annee,mois,jour,jour_sem,jour_sem_num,weekend,quart_mois
2023-03-31,DON XX XX XX XX XX XX XX,-1.44,1515.25,AUTRE,DON,petite,debit,2023,3,31,Friday,5,FALSE,4
2023-04-03,CARTE XX XX RAPT XX,-24,1513.81,TRANSPORT,CARTE,petite,debit,2023,4,3,Monday,1,FALSE,1
2023-04-03,CARTE XX XX RAPT XX,-73,1489.81,TRANSPORT,CARTE,petite,debit,2023,4,3,Monday,1,FALSE,1
2023-04-03,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676,1416.81,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,3,Monday,1,FALSE,1
2023-04-03,VIREMENT XX XX XX XX XX XX,4.8,2092.81,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,3,Monday,1,FALSE,1
2023-04-03,CARTE XX XX XX XX,-14.39,2097.61,AUTRE,CARTE,petite,debit,2023,4,3,Monday,1,FALSE,1
2023-04-05,CARTE XX XX XX XX XX,-15.2,2083.22,AUTRE,CARTE,petite,debit,2023,4,5,Wednesday,3,FALSE,1
2023-04-05,CARTE XX XX XX XX,-12,2068.02,AUTRE,CARTE,petite,debit,2023,4,5,Wednesday,3,FALSE,1
2023-04-05,PRELEVEMENT XX TELEPHONE XX XX,-7.02,2056.02,FACTURE TELEPHONE,AUTRE,petite,debit,2023,4,5,Wednesday,3,FALSE,1
2023-04-05,CARTE XX XX LES ANCIENS ROBINSON XX,-6.8,2049,COURSES,CARTE,petite,debit,2023,4,5,Wednesday,3,FALSE,1
2023-04-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,2042.2,COTISATION BANCAIRE,AUTRE,petite,debit,2023,4,6,Thursday,4,FALSE,1
2023-04-07,VIREMENT XX XX XX XX XX XX XX XX XX XX,992.8,2040.36,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,7,Friday,5,FALSE,1
2023-04-10,CARTE XX XX XX XX XX,-24,3033.16,AUTRE,CARTE,petite,debit,2023,4,10,Monday,1,FALSE,2
2023-04-10,VIREMENT XX XX XX XX XX XX,1.6,3009.16,AUTRE,VIREMENT,(pas une dépense),credit,2023,4,10,Monday,1,FALSE,2
2023-04-10,CARTE XX XX XX XX,-84.4,3010.76,AUTRE,CARTE,moyenne,debit,2023,4,10,Monday,1,FALSE,2
2023-04-10,CARTE XX XX CHEZ LUC XX,-12.42,2926.36,RESTAURANT,CARTE,petite,debit,2023,4,10,Monday,1,FALSE,2
2023-04-10,CARTE XX XX XX XX XX XX,-6,2913.94,AUTRE,CARTE,petite,debit,2023,4,10,Monday,1,FALSE,2
2023-04-10,CARTE XX XX XX XX XX,-20.64,2907.94,AUTRE,CARTE,petite,debit,2023,4,10,Monday,1,FALSE,2
