Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5511","Production","2511","Blé","2013","2013","Milliers de tonnes","5169","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5511","Production","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","342","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5511","Production","2513","Orge","2013","2013","Milliers de tonnes","514","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5511","Production","2514","Maïs","2013","2013","Milliers de tonnes","312","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","5511","Production","2517","Millet","2013","2013","Milliers de tonnes","13","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","202","Afrique du Sud","5511","Production","2511","Blé","2013","2013","Milliers de tonnes","1870","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","202","Afrique du Sud","5511","Production","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","202","Afrique du Sud","5511","Production","2513","Orge","2013","2013","Milliers de tonnes","268","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","202","Afrique du Sud","5511","Production","2514","Maïs","2013","2013","Milliers de tonnes","11811","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","202","Afrique du Sud","5511","Production","2515","Seigle","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","202","Afrique du Sud","5511","Production","2516","Avoine","2013","2013","Milliers de tonnes","28","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","202","Afrique du Sud","5511","Production","2517","Millet","2013","2013","Milliers de tonnes","7","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","202","Afrique du Sud","5511","Production","2518","Sorgho","2013","2013","Milliers de tonnes","147","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","202","Afrique du Sud","5511","Production","2520","Céréales, Autres","2013","2013","Milliers de tonnes","19","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","3","Albanie","5511","Production","2511","Blé","2013","2013","Milliers de tonnes","294","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","3","Albanie","5511","Production","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","3","Albanie","5511","Production","2513","Orge","2013","2013","Milliers de tonnes","7","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","3","Albanie","5511","Production","2514","Maïs","2013","2013","Milliers de tonnes","372","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","3","Albanie","5511","Production","2515","Seigle","2013","2013","Milliers de tonnes","3","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","3","Albanie","5511","Production","2516","Avoine","2013","2013","Milliers de tonnes","27","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","3","Albanie","5511","Production","2518","Sorgho","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","4","Algérie","5511","Production","2511","Blé","2013","2013","Milliers de tonnes","3299","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","4","Algérie","5511","Production","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","4","Algérie","5511","Production","2513","Orge","2013","2013","Milliers de tonnes","1499","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","4","Algérie","5511","Production","2514","Maïs","2013","2013","Milliers de tonnes","1","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","4","Algérie","5511","Production","2516","Avoine","2013","2013","Milliers de tonnes","113","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","4","Algérie","5511","Production","2518","Sorgho","2013","2013","Milliers de tonnes","2","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","4","Algérie","5511","Production","2520","Céréales, Autres","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","79","Allemagne","5511","Production","2511","Blé","2013","2013","Milliers de tonnes","25019","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","79","Allemagne","5511","Production","2513","Orge","2013","2013","Milliers de tonnes","10344","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","79","Allemagne","5511","Production","2514","Maïs","2013","2013","Milliers de tonnes","4387","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","79","Allemagne","5511","Production","2515","Seigle","2013","2013","Milliers de tonnes","4689","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","79","Allemagne","5511","Production","2516","Avoine","2013","2013","Milliers de tonnes","628","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","79","Allemagne","5511","Production","2520","Céréales, Autres","2013","2013","Milliers de tonnes","2690","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","7","Angola","5511","Production","2511","Blé","2013","2013","Milliers de tonnes","4","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","7","Angola","5511","Production","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","25","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","7","Angola","5511","Production","2514","Maïs","2013","2013","Milliers de tonnes","1549","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","7","Angola","5511","Production","2517","Millet","2013","2013","Milliers de tonnes","39","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","7","Angola","5511","Production","2518","Sorgho","2013","2013","Milliers de tonnes","46","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","8","Antigua-et-Barbuda","5511","Production","2514","Maïs","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","194","Arabie saoudite","5511","Production","2511","Blé","2013","2013","Milliers de tonnes","660","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","194","Arabie saoudite","5511","Production","2805","Riz (Eq Blanchi)","2013","2013","Milliers de tonnes","0","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","194","Arabie saoudite","5511","Production","2513","Orge","2013","2013","Milliers de tonnes","11","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","194","Arabie saoudite","5511","Production","2514","Maïs","2013","2013","Milliers de tonnes","95","S","Données standardisées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","194","Arabie saoudite","5511","Production","2517","Millet","2013","2013","Milliers de tonnes","4","S","Données standardisées"
