Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","2","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","1587.8","X","International reliable sources",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","2190.2","X","International reliable sources",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-2.69","X","International reliable sources",""
"FS","Suite of Food Security Indicators","2","Afghanistan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-2.75","X","International reliable sources",""
"FS","Suite of Food Security Indicators","3","Albania","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","10119.1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","3","Albania","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","13601.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","3","Albania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-0.03","X","International reliable sources",""
"FS","Suite of Food Security Indicators","3","Albania","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.38","X","International reliable sources",""
"FS","Suite of Food Security Indicators","4","Algeria","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","10625","X","International reliable sources",""
"FS","Suite of Food Security Indicators","4","Algeria","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","11479.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","4","Algeria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-1.09","X","International reliable sources",""
"FS","Suite of Food Security Indicators","4","Algeria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-0.79","X","International reliable sources",""
"FS","Suite of Food Security Indicators","5","American Samoa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.98","X","International reliable sources",""
"FS","Suite of Food Security Indicators","5","American Samoa","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","1.21","X","International reliable sources",""
"FS","Suite of Food Security Indicators","6","Andorra","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","1.34","X","International reliable sources",""
"FS","Suite of Food Security Indicators","6","Andorra","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","1.43","X","International reliable sources",""
"FS","Suite of Food Security Indicators","7","Angola","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","7830.2","X","International reliable sources",""
"FS","Suite of Food Security Indicators","7","Angola","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","6933.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","7","Angola","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-0.36","X","International reliable sources",""
"FS","Suite of Food Security Indicators","7","Angola","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-0.32","X","International reliable sources",""
"FS","Suite of Food Security Indicators","8","Antigua and Barbuda","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","23101.9","X","International reliable sources",""
"FS","Suite of Food Security Indicators","8","Antigua and Barbuda","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","21115.8","X","International reliable sources",""
"FS","Suite of Food Security Indicators","8","Antigua and Barbuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.81","X","International reliable sources",""
"FS","Suite of Food Security Indicators","8","Antigua and Barbuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.73","X","International reliable sources",""
"FS","Suite of Food Security Indicators","9","Argentina","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","23103.7","X","International reliable sources",""
"FS","Suite of Food Security Indicators","9","Argentina","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","22745.9","X","International reliable sources",""
"FS","Suite of Food Security Indicators","9","Argentina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-0.09","X","International reliable sources",""
"FS","Suite of Food Security Indicators","9","Argentina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.02","X","International reliable sources",""
"FS","Suite of Food Security Indicators","1","Armenia","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","10467.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","1","Armenia","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","12715","X","International reliable sources",""
"FS","Suite of Food Security Indicators","1","Armenia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-0.01","X","International reliable sources",""
"FS","Suite of Food Security Indicators","1","Armenia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-0.42","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","45196.7","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","49576","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.96","X","International reliable sources",""
"FS","Suite of Food Security Indicators","10","Australia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.98","X","International reliable sources",""
"FS","Suite of Food Security Indicators","11","Austria","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","53458.6","X","International reliable sources",""
"FS","Suite of Food Security Indicators","11","Austria","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","55687.2","X","International reliable sources",""
"FS","Suite of Food Security Indicators","11","Austria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","1.34","X","International reliable sources",""
"FS","Suite of Food Security Indicators","11","Austria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.92","X","International reliable sources",""
"FS","Suite of Food Security Indicators","52","Azerbaijan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","12903.1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","52","Azerbaijan","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","14209.6","X","International reliable sources",""
"FS","Suite of Food Security Indicators","52","Azerbaijan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-0.33","X","International reliable sources",""
"FS","Suite of Food Security Indicators","52","Azerbaijan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-0.7","X","International reliable sources",""
"FS","Suite of Food Security Indicators","12","Bahamas","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","39315.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","12","Bahamas","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","35500.5","X","International reliable sources",""
"FS","Suite of Food Security Indicators","12","Bahamas","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.77","X","International reliable sources",""
"FS","Suite of Food Security Indicators","12","Bahamas","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.87","X","International reliable sources",""
"FS","Suite of Food Security Indicators","13","Bahrain","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","46424.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","13","Bahrain","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","46242.3","X","International reliable sources",""
"FS","Suite of Food Security Indicators","13","Bahrain","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-0.24","X","International reliable sources",""
"FS","Suite of Food Security Indicators","13","Bahrain","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-0.84","X","International reliable sources",""
"FS","Suite of Food Security Indicators","16","Bangladesh","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","2659","X","International reliable sources",""
"FS","Suite of Food Security Indicators","16","Bangladesh","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","4441.4","X","International reliable sources",""
"FS","Suite of Food Security Indicators","16","Bangladesh","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","-1.51","X","International reliable sources",""
"FS","Suite of Food Security Indicators","16","Bangladesh","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","-1.03","X","International reliable sources",""
"FS","Suite of Food Security Indicators","14","Barbados","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","16946.7","X","International reliable sources",""
"FS","Suite of Food Security Indicators","14","Barbados","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","15674.9","X","International reliable sources",""
"FS","Suite of Food Security Indicators","14","Barbados","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","1.07","X","International reliable sources",""
"FS","Suite of Food Security Indicators","14","Barbados","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.92","X","International reliable sources",""
"FS","Suite of Food Security Indicators","57","Belarus","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","15942.9","X","International reliable sources",""
"FS","Suite of Food Security Indicators","57","Belarus","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","18885.2","X","International reliable sources",""
"FS","Suite of Food Security Indicators","57","Belarus","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.52","X","International reliable sources",""
"FS","Suite of Food Security Indicators","57","Belarus","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.35","X","International reliable sources",""
"FS","Suite of Food Security Indicators","255","Belgium","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","48462.1","X","International reliable sources",""
"FS","Suite of Food Security Indicators","255","Belgium","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2018","2018","I$","51246","X","International reliable sources",""
"FS","Suite of Food Security Indicators","255","Belgium","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2008","2008","index","0.62","X","International reliable sources",""
"FS","Suite of Food Security Indicators","255","Belgium","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2018","2018","index","0.41","X","International reliable sources",""
"FS","Suite of Food Security Indicators","23","Belize","6126","Value","22013","Gross domestic product per capita, PPP, dissemination (constant 2011 international $)","2008","2008","I$","7339.7","X","International reliable sources",""
