Country Name,Country Code,Series Name,Series Code,2008 [YR2008]
France,FRA,Gini index (World Bank estimate),SI.POV.GINI,33
France,FRA,"Population, total",SP.POP.TOTL,64374984
Afghanistan,AFG,Gini index (World Bank estimate),SI.POV.GINI,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,27722276
Albania,ALB,Gini index (World Bank estimate),SI.POV.GINI,30
Albania,ALB,"Population, total",SP.POP.TOTL,2947314
Algeria,DZA,Gini index (World Bank estimate),SI.POV.GINI,..
Algeria,DZA,"Population, total",SP.POP.TOTL,34730608
American Samoa,ASM,Gini index (World Bank estimate),SI.POV.GINI,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,57492
Andorra,AND,Gini index (World Bank estimate),SI.POV.GINI,..
Andorra,AND,"Population, total",SP.POP.TOTL,83862
Angola,AGO,Gini index (World Bank estimate),SI.POV.GINI,42.7
Angola,AGO,"Population, total",SP.POP.TOTL,21695634
Antigua and Barbuda,ATG,Gini index (World Bank estimate),SI.POV.GINI,..
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,85397
Argentina,ARG,Gini index (World Bank estimate),SI.POV.GINI,45.3
Argentina,ARG,"Population, total",SP.POP.TOTL,40080160
Armenia,ARM,Gini index (World Bank estimate),SI.POV.GINI,29.2
Armenia,ARM,"Population, total",SP.POP.TOTL,2907618
Aruba,ABW,Gini index (World Bank estimate),SI.POV.GINI,..
Aruba,ABW,"Population, total",SP.POP.TOTL,101358
Australia,AUS,Gini index (World Bank estimate),SI.POV.GINI,35.4
Australia,AUS,"Population, total",SP.POP.TOTL,21249200
Austria,AUT,Gini index (World Bank estimate),SI.POV.GINI,30.4
Austria,AUT,"Population, total",SP.POP.TOTL,8321496
Azerbaijan,AZE,Gini index (World Bank estimate),SI.POV.GINI,..
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8763400
"Bahamas, The",BHS,Gini index (World Bank estimate),SI.POV.GINI,..
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,343681
Bahrain,BHR,Gini index (World Bank estimate),SI.POV.GINI,..
Bahrain,BHR,"Population, total",SP.POP.TOTL,1114641
Bangladesh,BGD,Gini index (World Bank estimate),SI.POV.GINI,..
Bangladesh,BGD,"Population, total",SP.POP.TOTL,144304167
